Member ID,First Name,Last Name,Email,Password,Is Staff
CS-1,John,Doe,johndoe@example.com,Mangc!1882*1,False
CS-2,Jane,Smith,janesmith@example.com,Mangc!1882*2,False
CS-3,Michael,Johnson,michaeljohnson@example.com,Mangc!1882*3,False
CS-4,Susan,Williams,susanwilliams@example.com,Mangc!1882*4,False
CS-5,David,Jones,davidjones@example.com,Mangc!1882*5,False
CS-6,Linda,Miller,lindamiller@example.com,Mangc!1882*6,False
CS-7,James,Brown,jamesbrown@example.com,Mangc!1882*7,False
CS-8,Sarah,Davis,sarahdavis@example.com,Mangc!1882*8,False
CS-9,Robert,Miller,robertmiller@example.com,Mangc!1882*9,False
CS-10,Mary,Johnson,maryjohnson@example.com,Mangc!1882*10,False
